User Activities
""
"Object Type,File Name,Object Name,Description,User Name,Activity,Status,Timestamp,Previous Value,Current Value"
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.22 06:30:09"","""","""""
"""Story"",""test consumi con variabile su modello"",""B3502704EEF7C0AD6F754A0AD98A2355"","""",""WBERTOLDI"",""Create"",""Success"",""2024.08.22 06:14:07"",""{""RANDREASI"":{};""TEAM:t.C:FI_SITCAP_View"":{};""TEAM:t.C:SIAG_System_Administrator"":{};""TEAM:t.C:SAC_SupportSAP"":{};""TEAM:t.C:SIAG_Business_Intelligence"":{}}"",""{""RANDREASI"":{""share"":true;""read"":true;""update"":true;""delete"":true;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":true};""TEAM:t.C:FI_SITCAP_View"":{""share"":false;""read"":true;""update"":false;""delete"":false;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":false};""TEAM:t.C:SIAG_System_Administrator"":{""share"":false;""read"":true;""update"":false;""delete"":false;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":false};""TEAM:t.C:SAC_SupportSAP"":{""share"":true;""read"":true;""update"":true;""delete"":true;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":true};""TEAM:t.C:SIAG_Business_Intelligence"":{""share"":true;""read"":true;""update"":true;""delete"":true;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":true}}"""
"""Model"",""CVC_STAR_FI_CONS_KBL_TEST_VARIABILE"",""Chdo2e17eums36qcr5rnnpb00m"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:50:10"","""","""""
"""Model"",""CVC_STAR_FI_CONS_KBL_TEST_VARIABILE"",""Chdo2e17eums36qcr5rnnpb00m"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:50:09"","""","""""
"""Model"",""CVC_STAR_FI_CONS_KBL_TEST_VARIABILE"",""Chdo2e17eums36qcr5rnnpb00m"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:49:46"","""","""""
"""Model"",""CVC_STAR_FI_CONS_KBL_TEST_VARIABILE"",""Chdo2e17eums36qcr5rnnpb00m"","""",""WBERTOLDI"",""Create"",""Success"",""2024.08.22 05:49:46"",""{""RANDREASI"":{};""TEAM:t.C:FI_SITCAP_View"":{};""TEAM:t.C:SIAG_System_Administrator"":{};""TEAM:t.C:SAC_SupportSAP"":{};""TEAM:t.C:SIAG_Business_Intelligence"":{}}"",""{""RANDREASI"":{""share"":true;""read"":true;""update"":true;""delete"":true;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":true;""maintain"":true};""TEAM:t.C:FI_SITCAP_View"":{""share"":false;""read"":true;""update"":false;""delete"":false;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":false};""TEAM:t.C:SIAG_System_Administrator"":{""share"":false;""read"":true;""update"":false;""delete"":false;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":false};""TEAM:t.C:SAC_SupportSAP"":{""share"":true;""read"":true;""update"":true;""delete"":true;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":true;""maintain"":true};""TEAM:t.C:SIAG_Business_Intelligence"":{""share"":true;""read"":true;""update"":true;""delete"":true;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":true;""maintain"":true}}"""
"""Model"",""Finance - Modello consumi dettaglio"",""Cor5o504p1lsbuk713suerpa6d"",""Modello dati per dettaglio consumi"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:48:31"","""","""""
"""Model"",""Finance - Modello consumi dettaglio"",""Cor5o504p1lsbuk713suerpa6d"",""Modello dati per dettaglio consumi"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:48:30"","""","""""
"""Model"",""Finance - Modello consumi dettaglio"",""Cor5o504p1lsbuk713suerpa6d"",""Modello dati per dettaglio consumi"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:48:30"","""","""""
"""Model"",""CVC_STAR_FI_ODA_TEST_VARIABILE"",""Cqd82e17euj1o6m3egvrjo0ic5m"",""CVC_STAR_FI_ODA_TEST_VARIABILE"",""WBERTOLDI"",""Delete"",""Success"",""2024.08.22 05:45:59"","""","""""
"""Model"",""Finance - Modello consumi dettaglio"",""Cor5o504p1lsbuk713suerpa6d"",""Modello dati per dettaglio consumi"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:45:19"","""","""""
"""Model"",""Finance - Modello consumi dettaglio"",""Cor5o504p1lsbuk713suerpa6d"",""Modello dati per dettaglio consumi"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:45:19"","""","""""
"""Model"",""Finance - Modello consumi dettaglio"",""Cor5o504p1lsbuk713suerpa6d"",""Modello dati per dettaglio consumi"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:45:17"","""","""""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:44:53"","""","""""
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.22 05:44:51"","""","""""
"""Story"",""Sistema di analisi della contabilit� Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilit� Consumi - Definitive version on XSA"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:43:54"","""","""""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:43:37"","""","""""
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.22 05:43:35"","""","""""
"""Model"",""CVC_STAR_FI_ODA_TEST_VARIABILE"",""Cqd82e17euj1o6m3egvrjo0ic5m"",""CVC_STAR_FI_ODA_TEST_VARIABILE"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:40:32"","""","""""
"""Model"",""CVC_STAR_FI_ODA_TEST_VARIABILE"",""Cqd82e17euj1o6m3egvrjo0ic5m"",""CVC_STAR_FI_ODA_TEST_VARIABILE"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:40:32"","""","""""
"""Model"",""CVC_STAR_FI_ODA_TEST_VARIABILE"",""Cqd82e17euj1o6m3egvrjo0ic5m"",""CVC_STAR_FI_ODA_TEST_VARIABILE"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:39:49"","""","""""
"""Model"",""CVC_STAR_FI_ODA_TEST_VARIABILE"",""Cqd82e17euj1o6m3egvrjo0ic5m"",""CVC_STAR_FI_ODA_TEST_VARIABILE"",""WBERTOLDI"",""Create"",""Success"",""2024.08.22 05:39:48"",""{""RANDREASI"":{};""TEAM:t.C:FI_SITCAP_View"":{};""TEAM:t.C:SIAG_System_Administrator"":{};""TEAM:t.C:SAC_SupportSAP"":{};""TEAM:t.C:SIAG_Business_Intelligence"":{}}"",""{""RANDREASI"":{""share"":true;""read"":true;""update"":true;""delete"":true;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":true;""maintain"":true};""TEAM:t.C:FI_SITCAP_View"":{""share"":false;""read"":true;""update"":false;""delete"":false;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":false};""TEAM:t.C:SIAG_System_Administrator"":{""share"":false;""read"":true;""update"":false;""delete"":false;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":false};""TEAM:t.C:SAC_SupportSAP"":{""share"":true;""read"":true;""update"":true;""delete"":true;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":true;""maintain"":true};""TEAM:t.C:SIAG_Business_Intelligence"":{""share"":true;""read"":true;""update"":true;""delete"":true;""copy"":true;""comment_view"":true;""comment_add"":true;""comment_delete"":true;""maintain"":true}}"""
"""Model"",""Finance - Modello Ordini di acquisto"",""Cnao1h19ujsl5i1a9rijskfk2t"",""Modello dati per dettaglio degli ordini di acquisto"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:38:05"","""","""""
"""Model"",""Finance - Modello Ordini di acquisto"",""Cnao1h19ujsl5i1a9rijskfk2t"",""Modello dati per dettaglio degli ordini di acquisto"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:38:05"","""","""""
"""Model"",""Finance - Modello Ordini di acquisto"",""Cnao1h19ujsl5i1a9rijskfk2t"",""Modello dati per dettaglio degli ordini di acquisto"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:38:00"","""","""""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:37:36"","""","""""
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.22 05:37:34"","""","""""
"""Story"",""Sistema di analisi della contabilit� Consumi - Definitive (XSA)"",""B98078853E980B446EB4C037602D3563"",""Sistema di analisi della contabilit� Consumi - Definitive version on XSA"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:37:24"","""","""""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 05:36:58"","""","""""
"""User"","""",""WBERTOLDI"","""",""WBERTOLDI"",""Login"",""Success"",""2024.08.22 05:36:56"","""","""""
"""Model"",""Modello_Recupero_Annualit�"",""CDJO25AXSKK8NV42B1OO7KYBR4"",""Modello_Recupero_Annualit�"",""WBERTOLDI"",""Data Import"",""Success"",""2024.08.22 03:25:33"","""",""{""Total_Count"":3;""Inserted_Count"":3;""Rejected_Count"":0;""Deleted_Count"":3}"""
"""Model"",""Modello_Indicatori"",""C409GL4B7DENRW7T8NHDH7EY9S"",""Modello per definizione indicatori"",""WBERTOLDI"",""Data Import"",""Success"",""2024.08.22 03:20:52"","""",""{""Total_Count"":5316;""Inserted_Count"":21133;""Rejected_Count"":23;""Deleted_Count"":21133}"""
"""Dimension"","""",""ANNO_RIFERIMENTO"","""",""WBERTOLDI"",""Update"",""Success"",""2024.08.22 03:20:51"",""{}"",""{}"""
"""Model"",""Modello_Ris_Pres"",""C1F7V5OAHHUCECJ4Q7P5L4G3Y8"",""Modello per risorse personale"",""WBERTOLDI"",""Data Import"",""Success"",""2024.08.22 03:05:40"","""",""{""Total_Count"":6162;""Inserted_Count"":8935;""Rejected_Count"":0;""Deleted_Count"":8935}"""
"""Dimension"","""",""ANNO_RIFERIMENTO"","""",""WBERTOLDI"",""Update"",""Success"",""2024.08.22 03:05:39"",""{}"",""{}"""
"""Model"",""Modello_Strutture_OS"",""C1ZNYWZN3X4OQUF3JPF45K4IRK"",""Modello per definizione strutture e obbiettivi strategici"",""WBERTOLDI"",""Data Import"",""Success"",""2024.08.22 03:01:07"","""",""{""Total_Count"":1811;""Inserted_Count"":1811;""Rejected_Count"":0;""Deleted_Count"":1811}"""
"""Dimension"","""",""DATA_FINE_OS"","""",""WBERTOLDI"",""Update"",""Success"",""2024.08.22 03:01:06"",""{}"",""{}"""
"""Dimension"","""",""DATA_INIZIO_OS"","""",""WBERTOLDI"",""Update"",""Success"",""2024.08.22 03:01:05"",""{}"",""{}"""
"""Dimension"","""",""ANNO_RIFERIMENTO"","""",""WBERTOLDI"",""Update"",""Success"",""2024.08.22 03:01:03"",""{}"",""{}"""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/812)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.21 13:51:03"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/812)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.21 13:24:33"","""","""""
