User Activities
""
"Object Type,File Name,Object Name,Description,User Name,Activity,Status,Timestamp,Previous Value,Current Value"
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:43:07"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:42:29"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:41:50"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/1)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:39:04"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:12:06"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:10:11"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:09:33"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:07:57"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:06:11"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:03:00"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:02:30"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/1)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 07:02:21"","""","""""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""THOMASGEIER"",""Read"",""Success"",""2024.08.20 06:33:21"","""","""""
"""User"","""",""THOMASGEIER"","""",""THOMASGEIER"",""Login"",""Success"",""2024.08.20 06:33:19"","""","""""
"""Model"",""Modello_Recupero_Annualità"",""CDJO25AXSKK8NV42B1OO7KYBR4"",""Modello_Recupero_Annualità"",""WBERTOLDI"",""Data Import"",""Success"",""2024.08.20 03:25:33"","""",""{""Total_Count"":3;""Inserted_Count"":3;""Rejected_Count"":0;""Deleted_Count"":3}"""
